id,name,status,project_id,objection
1294,Meera Patel 20,Final Negotiation,152,
1295,Naina Singh 20,Booking Done,159,
1296,Rohan Agarwal 20,Failed,166,Budget
1297,Saanvi Desai 20,Junk,173,
1298,Tara Khan 20,Claimed,180,
1299,Vihaan Patel 20,In CC,187,
1300,Zoya Singh 20,Interested,194,
1301,Aarav Agarwal 21,Meeting Done,101,
1302,Aditi Desai 21,Visit Done,108,
1303,Akash Khan 21,Final Negotiation,115,
1304,Anaya Patel 21,Booking Done,122,
1305,Arjun Singh 21,Failed,129,Budget
1306,Diya Agarwal 21,Junk,136,
1307,Ishaan Desai 21,Claimed,143,
1308,Kabir Khan 21,In CC,150,
1309,Meera Patel 21,Interested,157,
1310,Naina Singh 21,Meeting Done,164,
1311,Rohan Agarwal 21,Visit Done,171,
1312,Saanvi Desai 21,Final Negotiation,178,
1313,Tara Khan 21,Booking Done,185,
1314,Vihaan Patel 21,Failed,192,Budget
1315,Zoya Singh 21,Junk,199,
1316,Aarav Agarwal 22,Claimed,106,
1317,Aditi Desai 22,In CC,113,
1318,Akash Khan 22,Interested,120,
1319,Anaya Patel 22,Meeting Done,127,
1320,Arjun Singh 22,Visit Done,134,
1321,Diya Agarwal 22,Final Negotiation,141,
1322,Ishaan Desai 22,Booking Done,148,
1323,Kabir Khan 22,Failed,155,Timing
1324,Meera Patel 22,Junk,162,
1325,Naina Singh 22,Claimed,169,
1326,Rohan Agarwal 22,In CC,176,
1327,Saanvi Desai 22,Interested,183,
1328,Tara Khan 22,Meeting Done,190,
1329,Vihaan Patel 22,Visit Done,197,
1330,Zoya Singh 22,Final Negotiation,104,
1331,Aarav Agarwal 23,Booking Done,111,
1332,Aditi Desai 23,Failed,118,Loan approval
1333,Akash Khan 23,Junk,125,
1334,Anaya Patel 23,Claimed,132,
1335,Arjun Singh 23,In CC,139,
1336,Diya Agarwal 23,Interested,146,
1337,Ishaan Desai 23,Meeting Done,153,
1338,Kabir Khan 23,Visit Done,160,
1339,Meera Patel 23,Final Negotiation,167,
1340,Naina Singh 23,Booking Done,174,
1341,Rohan Agarwal 23,Failed,181,Location
1342,Saanvi Desai 23,Junk,188,
1343,Tara Khan 23,Claimed,195,
1344,Vihaan Patel 23,In CC,102,
1345,Zoya Singh 23,Interested,109,
1346,Aarav Agarwal 24,Meeting Done,116,
1347,Aditi Desai 24,Visit Done,123,
1348,Akash Khan 24,Final Negotiation,130,
1349,Anaya Patel 24,Booking Done,137,
1350,Arjun Singh 24,Failed,144,Possession timeline
1351,Diya Agarwal 24,Junk,151,
1352,Ishaan Desai 24,Claimed,158,
1353,Kabir Khan 24,In CC,165,
1354,Meera Patel 24,Interested,172,
1355,Naina Singh 24,Meeting Done,179,
1356,Rohan Agarwal 24,Visit Done,186,
1357,Saanvi Desai 24,Final Negotiation,193,
1358,Tara Khan 24,Booking Done,200,
1359,Vihaan Patel 24,Failed,107,Price comparison
1360,Zoya Singh 24,Junk,114,
1361,Aarav Agarwal 25,Claimed,121,
1362,Aditi Desai 25,In CC,128,
1363,Akash Khan 25,Interested,135,
1364,Anaya Patel 25,Meeting Done,142,
1365,Arjun Singh 25,Visit Done,149,
1366,Diya Agarwal 25,Final Negotiation,156,
1367,Ishaan Desai 25,Booking Done,163,
1368,Kabir Khan 25,Failed,170,Budget
1369,Meera Patel 25,Junk,177,
1370,Naina Singh 25,Claimed,184,
1371,Rohan Agarwal 25,In CC,191,
1372,Saanvi Desai 25,Interested,198,
1373,Tara Khan 25,Meeting Done,105,
1374,Vihaan Patel 25,Visit Done,112,
1375,Zoya Singh 25,Final Negotiation,119,
1376,Aarav Agarwal 26,Booking Done,126,
1377,Aditi Desai 26,Failed,133,Budget
1378,Akash Khan 26,Junk,140,
1379,Anaya Patel 26,Claimed,147,
1380,Arjun Singh 26,In CC,154,
1381,Diya Agarwal 26,Interested,161,
1382,Ishaan Desai 26,Meeting Done,168,
1383,Kabir Khan 26,Visit Done,175,
1384,Meera Patel 26,Final Negotiation,182,
1385,Naina Singh 26,Booking Done,189,
1386,Rohan Agarwal 26,Failed,196,Budget
1387,Saanvi Desai 26,Junk,103,
1388,Tara Khan 26,Claimed,110,
1389,Vihaan Patel 26,In CC,117,
1390,Zoya Singh 26,Interested,124,
1391,Aarav Agarwal 27,Meeting Done,131,
1392,Aditi Desai 27,Visit Done,138,
1393,Akash Khan 27,Final Negotiation,145,
1394,Anaya Patel 27,Booking Done,152,
1395,Arjun Singh 27,Failed,159,Timing
1396,Diya Agarwal 27,Junk,166,
1397,Ishaan Desai 27,Claimed,173,
1398,Kabir Khan 27,In CC,180,
1399,Meera Patel 27,Interested,187,
1400,Naina Singh 27,Meeting Done,194,
1401,Rohan Agarwal 27,Visit Done,101,
1402,Saanvi Desai 27,Final Negotiation,108,
1403,Tara Khan 27,Booking Done,115,
1404,Vihaan Patel 27,Failed,122,Loan approval
1405,Zoya Singh 27,Junk,129,
1406,Aarav Agarwal 28,Claimed,136,
1407,Aditi Desai 28,In CC,143,
1408,Akash Khan 28,Interested,150,
1409,Anaya Patel 28,Meeting Done,157,
1410,Arjun Singh 28,Visit Done,164,
1411,Diya Agarwal 28,Final Negotiation,171,
1412,Ishaan Desai 28,Booking Done,178,
1413,Kabir Khan 28,Failed,185,Location
1414,Meera Patel 28,Junk,192,
1415,Naina Singh 28,Claimed,199,
1416,Rohan Agarwal 28,In CC,106,
1417,Saanvi Desai 28,Interested,113,
1418,Tara Khan 28,Meeting Done,120,
1419,Vihaan Patel 28,Visit Done,127,
1420,Zoya Singh 28,Final Negotiation,134,
1421,Aarav Agarwal 29,Booking Done,141,
1422,Aditi Desai 29,Failed,148,Possession timeline
1423,Akash Khan 29,Junk,155,
1424,Anaya Patel 29,Claimed,162,
1425,Arjun Singh 29,In CC,169,
1426,Diya Agarwal 29,Interested,176,
1427,Ishaan Desai 29,Meeting Done,183,
1428,Kabir Khan 29,Visit Done,190,
1429,Meera Patel 29,Final Negotiation,197,
1430,Naina Singh 29,Booking Done,104,
1431,Rohan Agarwal 29,Failed,111,Price comparison
1432,Saanvi Desai 29,Junk,118,
1433,Tara Khan 29,Claimed,125,
1434,Vihaan Patel 29,In CC,132,
1435,Zoya Singh 29,Interested,139,
1436,Aarav Agarwal 30,Meeting Done,146,
1437,Aditi Desai 30,Visit Done,153,
1438,Akash Khan 30,Final Negotiation,160,
1439,Anaya Patel 30,Booking Done,167,
1440,Arjun Singh 30,Failed,174,Budget
1441,Diya Agarwal 30,Junk,181,
1442,Ishaan Desai 30,Claimed,188,
1443,Kabir Khan 30,In CC,195,
1444,Meera Patel 30,Interested,102,
1445,Naina Singh 30,Meeting Done,109,
1446,Rohan Agarwal 30,Visit Done,116,
1447,Saanvi Desai 30,Final Negotiation,123,
1448,Tara Khan 30,Booking Done,130,
1449,Vihaan Patel 30,Failed,137,Budget
1450,Zoya Singh 30,Junk,144,
1451,Aarav Agarwal 31,Claimed,151,
1452,Aditi Desai 31,In CC,158,
1453,Akash Khan 31,Interested,165,
1454,Anaya Patel 31,Meeting Done,172,
1455,Arjun Singh 31,Visit Done,179,
1456,Diya Agarwal 31,Final Negotiation,186,
1457,Ishaan Desai 31,Booking Done,193,
1458,Kabir Khan 31,Failed,200,Budget
1459,Meera Patel 31,Junk,107,
1460,Naina Singh 31,Claimed,114,
1461,Rohan Agarwal 31,In CC,121,
1462,Saanvi Desai 31,Interested,128,
1463,Tara Khan 31,Meeting Done,135,
1464,Vihaan Patel 31,Visit Done,142,
1465,Zoya Singh 31,Final Negotiation,149,
1466,Aarav Agarwal 32,Booking Done,156,
1467,Aditi Desai 32,Failed,163,Timing
1468,Akash Khan 32,Junk,170,
1469,Anaya Patel 32,Claimed,177,
1470,Arjun Singh 32,In CC,184,
1471,Diya Agarwal 32,Interested,191,
1472,Ishaan Desai 32,Meeting Done,198,
1473,Kabir Khan 32,Visit Done,105,
1474,Meera Patel 32,Final Negotiation,112,
1475,Naina Singh 32,Booking Done,119,
1476,Rohan Agarwal 32,Failed,126,Loan approval
1477,Saanvi Desai 32,Junk,133,
1478,Tara Khan 32,Claimed,140,
1479,Vihaan Patel 32,In CC,147,
1480,Zoya Singh 32,Interested,154,
1481,Aarav Agarwal 33,Meeting Done,161,
1482,Aditi Desai 33,Visit Done,168,
1483,Akash Khan 33,Final Negotiation,175,
1484,Anaya Patel 33,Booking Done,182,
1485,Arjun Singh 33,Failed,189,Location
1486,Diya Agarwal 33,Junk,196,
1487,Ishaan Desai 33,Claimed,103,
1488,Kabir Khan 33,In CC,110,
1489,Meera Patel 33,Interested,117,
1490,Naina Singh 33,Meeting Done,124,
1491,Rohan Agarwal 33,Visit Done,131,
1492,Saanvi Desai 33,Final Negotiation,138,
1493,Tara Khan 33,Booking Done,145,
1494,Vihaan Patel 33,Failed,152,Possession timeline
1495,Zoya Singh 33,Junk,159,
1496,Aarav Agarwal 34,Claimed,166,
1497,Aditi Desai 34,In CC,173,
1498,Akash Khan 34,Interested,180,
1499,Anaya Patel 34,Meeting Done,187,
1500,Arjun Singh 34,Visit Done,194,
1501,Diya Agarwal 34,Final Negotiation,101,
1502,Ishaan Desai 34,Booking Done,108,
1503,Kabir Khan 34,Failed,115,Price comparison
1504,Meera Patel 34,Junk,122,
1505,Naina Singh 34,Claimed,129,
1506,Rohan Agarwal 34,In CC,136,
1507,Saanvi Desai 34,Interested,143,
1508,Tara Khan 34,Meeting Done,150,
1509,Vihaan Patel 34,Visit Done,157,
1510,Zoya Singh 34,Final Negotiation,164,
1511,Aarav Agarwal 35,Booking Done,171,
1512,Aditi Desai 35,Failed,178,Budget
1513,Akash Khan 35,Junk,185,
1514,Anaya Patel 35,Claimed,192,
1515,Arjun Singh 35,In CC,199,
1516,Diya Agarwal 35,Interested,106,
1517,Ishaan Desai 35,Meeting Done,113,
1518,Kabir Khan 35,Visit Done,120,
1519,Meera Patel 35,Final Negotiation,127,
1520,Naina Singh 35,Booking Done,134,
1521,Rohan Agarwal 35,Failed,141,Budget
1522,Saanvi Desai 35,Junk,148,
1523,Tara Khan 35,Claimed,155,
1524,Vihaan Patel 35,In CC,162,
1525,Zoya Singh 35,Interested,169,
1526,Aarav Agarwal 36,Meeting Done,176,
1527,Aditi Desai 36,Visit Done,183,
1528,Akash Khan 36,Final Negotiation,190,
1529,Anaya Patel 36,Booking Done,197,
1530,Arjun Singh 36,Failed,104,Budget
1531,Diya Agarwal 36,Junk,111,
1532,Ishaan Desai 36,Claimed,118,
1533,Kabir Khan 36,In CC,125,
1534,Meera Patel 36,Interested,132,
1535,Naina Singh 36,Meeting Done,139,
1536,Rohan Agarwal 36,Visit Done,146,
1537,Saanvi Desai 36,Final Negotiation,153,
1538,Tara Khan 36,Booking Done,160,
1539,Vihaan Patel 36,Failed,167,Timing
1540,Zoya Singh 36,Junk,174,
1541,Aarav Agarwal 37,Claimed,181,
1542,Aditi Desai 37,In CC,188,
1543,Akash Khan 37,Interested,195,
1544,Anaya Patel 37,Meeting Done,102,
1545,Arjun Singh 37,Visit Done,109,
1546,Diya Agarwal 37,Final Negotiation,116,
1547,Ishaan Desai 37,Booking Done,123,
1548,Kabir Khan 37,Failed,130,Loan approval
1549,Meera Patel 37,Junk,137,
1550,Naina Singh 37,Claimed,144,
1551,Rohan Agarwal 37,In CC,151,
1552,Saanvi Desai 37,Interested,158,
1553,Tara Khan 37,Meeting Done,165,
1554,Vihaan Patel 37,Visit Done,172,
1555,Zoya Singh 37,Final Negotiation,179,
1556,Aarav Agarwal 38,Booking Done,186,
1557,Aditi Desai 38,Failed,193,Location
1558,Akash Khan 38,Junk,200,
1559,Anaya Patel 38,Claimed,107,
1560,Arjun Singh 38,In CC,114,
1561,Diya Agarwal 38,Interested,121,
1562,Ishaan Desai 38,Meeting Done,128,
1563,Kabir Khan 38,Visit Done,135,
1564,Meera Patel 38,Final Negotiation,142,
1565,Naina Singh 38,Booking Done,149,
1566,Rohan Agarwal 38,Failed,156,Possession timeline
1567,Saanvi Desai 38,Junk,163,
1568,Tara Khan 38,Claimed,170,
1569,Vihaan Patel 38,In CC,177,
1570,Zoya Singh 38,Interested,184,
1571,Aarav Agarwal 39,Meeting Done,191,
1572,Aditi Desai 39,Visit Done,198,
1573,Akash Khan 39,Final Negotiation,105,
1574,Anaya Patel 39,Booking Done,112,
1575,Arjun Singh 39,Failed,119,Price comparison
1576,Diya Agarwal 39,Junk,126,
1577,Ishaan Desai 39,Claimed,133,
1578,Kabir Khan 39,In CC,140,
1579,Meera Patel 39,Interested,147,
1580,Naina Singh 39,Meeting Done,154,
1581,Rohan Agarwal 39,Visit Done,161,
1582,Saanvi Desai 39,Final Negotiation,168,
1583,Tara Khan 39,Booking Done,175,
1584,Vihaan Patel 39,Failed,182,Budget
1585,Zoya Singh 39,Junk,189,
1586,Aarav Agarwal 40,Claimed,196,
1587,Aditi Desai 40,In CC,103,
1588,Akash Khan 40,Interested,110,
1589,Anaya Patel 40,Meeting Done,117,
1590,Arjun Singh 40,Visit Done,124,
1591,Diya Agarwal 40,Final Negotiation,131,
1592,Ishaan Desai 40,Booking Done,138,
1593,Kabir Khan 40,Failed,145,Budget
1594,Meera Patel 40,Junk,152,
1595,Naina Singh 40,Claimed,159,
1596,Rohan Agarwal 40,In CC,166,
1597,Saanvi Desai 40,Interested,173,
1598,Tara Khan 40,Meeting Done,180,
1599,Vihaan Patel 40,Visit Done,187,
1600,Zoya Singh 40,Final Negotiation,194,
1601,Aarav Agarwal 41,Booking Done,101,
1602,Aditi Desai 41,Failed,108,Budget
1603,Akash Khan 41,Junk,115,
1604,Anaya Patel 41,Claimed,122,
1605,Arjun Singh 41,In CC,129,
1606,Diya Agarwal 41,Interested,136,
1607,Ishaan Desai 41,Meeting Done,143,
1608,Kabir Khan 41,Visit Done,150,
1609,Meera Patel 41,Final Negotiation,157,
1610,Naina Singh 41,Booking Done,164,
1611,Rohan Agarwal 41,Failed,171,Timing
1612,Saanvi Desai 41,Junk,178,
1613,Tara Khan 41,Claimed,185,
1614,Vihaan Patel 41,In CC,192,
1615,Zoya Singh 41,Interested,199,
1616,Aarav Agarwal 42,Meeting Done,106,
1617,Aditi Desai 42,Visit Done,113,
1618,Akash Khan 42,Final Negotiation,120,
1619,Anaya Patel 42,Booking Done,127,
1620,Arjun Singh 42,Failed,134,Loan approval
1621,Diya Agarwal 42,Junk,141,
1622,Ishaan Desai 42,Claimed,148,
1623,Kabir Khan 42,In CC,155,
1624,Meera Patel 42,Interested,162,
1625,Naina Singh 42,Meeting Done,169,
1626,Rohan Agarwal 42,Visit Done,176,
1627,Saanvi Desai 42,Final Negotiation,183,
1628,Tara Khan 42,Booking Done,190,
1629,Vihaan Patel 42,Failed,197,Location
1630,Zoya Singh 42,Junk,104,
1631,Aarav Agarwal 43,Claimed,111,
1632,Aditi Desai 43,In CC,118,
1633,Akash Khan 43,Interested,125,
1634,Anaya Patel 43,Meeting Done,132,
